slug	title	section	chars
catalog/blocks/glitch	Glitch	catalog	1388
catalog/blocks/swirl-vortex	Swirl Vortex	catalog	1470
catalog/blocks/transitions-3d	3D Transitions	catalog	1509
packages/cli	CLI	packages	32460
